run_id,project_id,scenario_id,scenario_date,scenario_name,forecast_system,forecast_system_type,forecast_creation_date,forecaster_type
Opening-Year-Model-Run,OhioDOT-79668FRA-70-16.120||Four-lane-resurfacing-project.FRA-70-16.12-to-24.74;-ColumbusFrom,s1,2014-01-01,design scenario,Unavailable,unknown,2014-01-01,state DOT
Design-Year-Model-Run,OhioDOT-79668FRA-70-16.120||Four-lane-resurfacing-project.FRA-70-16.12-to-24.74;-ColumbusFrom,s1,2014-01-01,design scenario,Unavailable,unknown,2014-01-01,state DOT
