obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
83644-2166-1,83644-2166,Opening Year,unknown,unknown,2013,00:00:00,24:00:00,volume,4109
83644-2166-1,83644-2166,Design Year,unknown,unknown,2013,00:00:00,24:00:00,volume,4109
