run_id,project_id,scenario_id,scenario_date,scenario_name,forecast_system,forecast_system_type,forecast_creation_date,forecaster_type
Opening-Year-Model-Run,OhioDOT-98211LOG-347-2.28||Construct-a-right-turn-lane-along-SR-347-at-the-entrance-of-the-Ho,s1,2014-01-01,design scenario,Unavailable,unknown,2014-01-01,state DOT
Design-Year-Model-Run,OhioDOT-98211LOG-347-2.28||Construct-a-right-turn-lane-along-SR-347-at-the-entrance-of-the-Ho,s1,2014-01-01,design scenario,Unavailable,unknown,2014-01-01,state DOT
