poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
86631-2073.0, LUC641.38,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, LUC641.38
86631-2074.0, LUC641.38,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, LUC641.38
