obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
98629-5230-1,98629-5230,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,2281
98629-5230-1,98629-5230,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,2281
