run_id,project_id,scenario_id,scenario_date,scenario_name,forecast_system,forecast_system_type,forecast_creation_date,forecaster_type
Opening-Year-Model-Run,OhioDOT-82632LOR-0020-22.19|Tier-2|Widening-to-5-Lanes-from-Stoney-Ridge-Road-to-Lear-Nagle-i,s1,2011-01-01,design scenario,Unavailable,unknown,2011-01-01,state DOT
Design-Year-Model-Run,OhioDOT-82632LOR-0020-22.19|Tier-2|Widening-to-5-Lanes-from-Stoney-Ridge-Road-to-Lear-Nagle-i,s1,2011-01-01,design scenario,Unavailable,unknown,2011-01-01,state DOT
