run_id,project_id,scenario_id,scenario_date,scenario_name,forecast_system,forecast_system_type,forecast_creation_date,forecaster_type
Opening-Year-Model-Run,OhioDOT-92906WOO-75-1.00/1.80-Redeck/Widen|Tier-2|A-major-new-funded-project-to-redeck-and-wi,s1,2013-01-01,design scenario,Unavailable,unknown,2013-01-01,state DOT
Design-Year-Model-Run,OhioDOT-92906WOO-75-1.00/1.80-Redeck/Widen|Tier-2|A-major-new-funded-project-to-redeck-and-wi,s1,2013-01-01,design scenario,Unavailable,unknown,2013-01-01,state DOT
