run_id,project_id,scenario_id,scenario_date,scenario_name,forecast_system,forecast_system_type,forecast_creation_date,forecaster_type
Opening-Year-Model-Run,OhioDOT-88252LUC-475/20-Interchg-Upgrade|Tier-2|A-TRAC-funded-project-to-upgarde-the-I-475/US,s1,2010-01-01,design scenario,Unavailable,unknown,2010-01-01,state DOT
Design-Year-Model-Run,OhioDOT-88252LUC-475/20-Interchg-Upgrade|Tier-2|A-TRAC-funded-project-to-upgarde-the-I-475/US,s1,2010-01-01,design scenario,Unavailable,unknown,2010-01-01,state DOT
