run_id,project_id,scenario_id,scenario_date,scenario_name,forecast_system,forecast_system_type,forecast_creation_date,forecaster_type
Opening-Year-Model-Run,OhioDOT-20429JAC/LAW-35/52-7.55/4.24		It-is-proposed-to-rehab-the-existing-structure.,s1,2009-01-01,design scenario,Unavailable,unknown,2009-01-01,state DOT
Design-Year-Model-Run,OhioDOT-20429JAC/LAW-35/52-7.55/4.24		It-is-proposed-to-rehab-the-existing-structure.,s1,2009-01-01,design scenario,Unavailable,unknown,2009-01-01,state DOT
