run_id,project_id,scenario_id,scenario_date,scenario_name,forecast_system,forecast_system_type,forecast_creation_date,forecaster_type
Opening-Year-Model-Run,OhioDOT-99731LUC-475-1.85-@20A-Interchnge|Tier-2|Build-a-new-interchange-in-Lucas-County-at-I,s1,2015-01-01,design scenario,Unavailable,unknown,2015-01-01,state DOT
Design-Year-Model-Run,OhioDOT-99731LUC-475-1.85-@20A-Interchnge|Tier-2|Build-a-new-interchange-in-Lucas-County-at-I,s1,2015-01-01,design scenario,Unavailable,unknown,2015-01-01,state DOT
