run_id,project_id,scenario_id,scenario_date,scenario_name,forecast_system,forecast_system_type,forecast_creation_date,forecaster_type
Opening-Year-Model-Run,"MichiganDOT-2576M-57 over Butternut Creek, 5.3 miles West of Carson City",s1,2012-01-01,design scenario,Unavailable,professional-judgment,2012-01-01,state DOT
Design-Year-Model-Run,"MichiganDOT-2576M-57 over Butternut Creek, 5.3 miles West of Carson City",s1,2012-01-01,design scenario,Unavailable,professional-judgment,2012-01-01,state DOT
