obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
80030-1371-1,80030-1371,Opening Year,unknown,unknown,2009,00:00:00,23:59:59,volume,42360
80030-1372-1,80030-1372,Opening Year,unknown,unknown,2009,00:00:00,23:59:59,volume,55080
