run_id,project_id,scenario_id,scenario_date,scenario_name,forecast_system,forecast_system_type,forecast_creation_date,forecaster_type
Opening-Year-Model-Run,OhioDOT-91466HAM-275-32.20||Remove-the-slip-ramp-from-the-eastbound-exit-of-IR275-to-US22-and,s1,2012-01-01,design scenario,Unavailable,unknown,2012-01-01,state DOT
Design-Year-Model-Run,OhioDOT-91466HAM-275-32.20||Remove-the-slip-ramp-from-the-eastbound-exit-of-IR275-to-US22-and,s1,2012-01-01,design scenario,Unavailable,unknown,2012-01-01,state DOT
