run_id,project_id,scenario_id,scenario_date,scenario_name,forecast_system,forecast_system_type,forecast_creation_date,forecaster_type
Opening-Year-Model-Run,OhioDOT-102421GRE-35-4.30||Construct-superstreets-at-the-US-35-with-Factory-and-Orchard.,s1,2016-01-01,design scenario,Unavailable,unknown,2016-01-01,state DOT
Design-Year-Model-Run,OhioDOT-102421GRE-35-4.30||Construct-superstreets-at-the-US-35-with-Factory-and-Orchard.,s1,2016-01-01,design scenario,Unavailable,unknown,2016-01-01,state DOT
