run_id,project_id,scenario_id,scenario_date,scenario_name,forecast_system,forecast_system_type,forecast_creation_date,forecaster_type
Opening-Year-Model-Run,OhioDOT-13567CUY-077-14.35-CCG6A|Tier-1|CCG6A.--Replace-the-mainline-IR-77-bridge-over-IR-490,s1,2015-01-01,design scenario,Unavailable,unknown,2015-01-01,state DOT
Design-Year-Model-Run,OhioDOT-13567CUY-077-14.35-CCG6A|Tier-1|CCG6A.--Replace-the-mainline-IR-77-bridge-over-IR-490,s1,2015-01-01,design scenario,Unavailable,unknown,2015-01-01,state DOT
