run_id,project_id,scenario_id,scenario_date,scenario_name,forecast_system,forecast_system_type,forecast_creation_date,forecaster_type
Opening-Year-Model-Run,OhioDOT-92561POR-Frost-Road-(CR-197)||Widening-Frost-Road;-construct-left-turn-lanes-along-al,s1,2013-01-01,design scenario,Unavailable,unknown,2013-01-01,consultant
Design-Year-Model-Run,OhioDOT-92561POR-Frost-Road-(CR-197)||Widening-Frost-Road;-construct-left-turn-lanes-along-al,s1,2013-01-01,design scenario,Unavailable,unknown,2013-01-01,consultant
