run_id,project_id,scenario_id,scenario_date,scenario_name,forecast_system,forecast_system_type,forecast_creation_date,forecaster_type
Opening-Year-Model-Run,OhioDOT-86916MRW-71-12.190|Tier-2|Full-depth-pavement-replacement-with-addition-of-third-medi,s1,2010-01-01,design scenario,Unavailable,unknown,2010-01-01,state DOT
Design-Year-Model-Run,OhioDOT-86916MRW-71-12.190|Tier-2|Full-depth-pavement-replacement-with-addition-of-third-medi,s1,2010-01-01,design scenario,Unavailable,unknown,2010-01-01,state DOT
