run_id,project_id,scenario_id,scenario_date,scenario_name,forecast_system,forecast_system_type,forecast_creation_date,forecaster_type
Opening-Year-Model-Run,FloridaDOT-411257-4Add lanes and reconstruction project on SR 35 from CR 466 (MP 27.989 to Marion County Line (M.P. 30.255),s1,2005-01-01,design scenario,Unavailable,travel-model,2005-01-01,consultant
Interim-Year-Model-Run,FloridaDOT-411257-4Add lanes and reconstruction project on SR 35 from CR 466 (MP 27.989 to Marion County Line (M.P. 30.255),s1,2005-01-01,design scenario,Unavailable,travel-model,2005-01-01,consultant
Design-Year-Model-Run,FloridaDOT-411257-4Add lanes and reconstruction project on SR 35 from CR 466 (MP 27.989 to Marion County Line (M.P. 30.255),s1,2005-01-01,design scenario,Unavailable,travel-model,2005-01-01,consultant
