run_id,project_id,scenario_id,scenario_date,scenario_name,forecast_system,forecast_system_type,forecast_creation_date,forecaster_type
Opening-Year-Model-Run,OhioDOT-85078SUM-0091-21.11||New-capacity-and-safety-improvement.,s1,2009-01-01,design scenario,Unavailable,unknown,2009-01-01,state DOT
Design-Year-Model-Run,OhioDOT-85078SUM-0091-21.11||New-capacity-and-safety-improvement.,s1,2009-01-01,design scenario,Unavailable,unknown,2009-01-01,state DOT
